date,firm,n,sd,source,Con,Green,Lab,LibDem,PLPW,SNP,UKIP,BP,ChUK
2019-01-17,Number Cruncher,1030,0.029,https://www.politico.eu/article/brexit-delay-how-britain-would-vote-in-the-european-election/,36,5,37,8,1,3,10,NA,NA
2019-03-15,Opinium,2008,0.022,https://www.thetimes.co.uk/article/239dbf2e-476f-11e9-924d-9729bcd51a7f,28,6,29,11,NA,4,17,NA,NA
2019-03-30,Opinium,2008,0.019,https://www.opinium.co.uk/wp-content/uploads/2019/03/VI-28-03-2019-Full-Data-Tables.xlsx,24,8,30,10,1,4,18,NA,NA
2019-04-08,Hanbury Strategy,2000,0.018,https://hanburystrategycloud.filecloudonline.com/ui/core/index.html?mode=single&path=/SHARED/data/gux0YC3cc8BBIHJB,23,4,37.8,8.1,0.2,4.1,7.5,10.3,4.1
2019-04-11,YouGov,1843,0.017,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/1g0abg184t/TheTimes_190411_VI_Trackers_EU_w.pdf,16,8,24,8,NA,6,14,15,7
2019-04-12,Opinium,2007,0.016,https://www.opinium.co.uk/political-polling-9th-april-2019/,17,6,29,10,1,6,13,12,4
2019-04-16,YouGov,1855,0.016,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/vdqicng3bz/PeoplesVote_190416_EUElections_w.pdf,15,10,22,9,1,3,7,27,6
2019-04-16,ComRes,1061,0.023,https://www.comresglobal.com/polls/brexit-express-voting-intention-poll-april-2019/,18,5,33,9,NA,4,5,17,9
2019-04-17,YouGov,1755,0.018,https://www.thetimes.co.uk/edition/news/farage-party-surges-into-euro-poll-lead-p8jnf5qgh,17,10,22,9,NA,5,6,23,8
2019-04-23,Opinium,931,0.022,https://www.opinium.co.uk/political-polling-9th-april-2019-2/,14,6,28,7,1,5,3,28,7
2019-04-25,Survation,1999,0.016,https://www.survation.com/wp-content/uploads/2019/04/European-Parliament-Election-Voting-Intention-UK.xlsx,16,4,27,8,1,3,7,27,4
2019-04-26,YouGov,5412,0.009,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/gx95u8qvbi/HopeNotHate_190426_EUElections_bpc_w.pdf,13,10,22,7,NA,5,5,28,10
2019-04-30,YouGov,1630,0.016,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/1b70ce1trk/TheTimes_190430_EuropeVI_Trackers_w.pdf,13,9,21,10,NA,4,4,30,9
2019-04-24,Panelbase,1149,0.023,https://www.drg.global/wp-content/uploads/W7181w19-ST-Tables-for-publication-240419.pdf,20,4,33,7,NA,4,5,20,5
2019-05-07,ComRes,4060,0.011,https://www.comresglobal.com/polls/centrum-campaign-electoral-calculus-european-parliamentary-elections-poll-may-2019/,14,6,26,11,NA,4,2,28,8
2019-05-07,Opinium,2000,0.015,https://d3n8a8pro7vhmx.cloudfront.net/in/pages/18887/attachments/original/1557395680/OP12293_Peoples_Vote_Customs_Union_Tables_v2.xlsx?1557395680,14,6,26,12,2,5,4,29,2
